dateOfSleep,duration,isMainSleep,deepSleep,lightSleep,remSleep,wakeSleep,asleepSleep,awakeSleep,restlessSleep
5/5/2022,550,TRUE,80,289,111,70,0,0,0
5/4/2022,527,TRUE,67,324,46,90,0,0,0
5/3/2022,137,FALSE,0,0,0,0,122,1,14
5/3/2022,530,TRUE,87,322,51,70,0,0,0
5/2/2022,431,TRUE,50,291,46,44,0,0,0
5/1/2022,474,TRUE,63,299,52,60,0,0,0
4/30/2022,345,TRUE,76,139,71,59,0,0,0
4/29/2022,429,TRUE,77,244,28,80,0,0,0
4/28/2022,463,TRUE,69,246,102,46,0,0,0
4/27/2022,446,TRUE,95,218,61,72,0,0,0
4/26/2022,469,TRUE,86,245,83,55,0,0,0
4/25/2022,448,TRUE,78,246,62,62,0,0,0
4/24/2022,486,TRUE,71,265,71,79,0,0,0
4/23/2022,77,FALSE,0,0,0,0,76,1,0
4/23/2022,479,TRUE,78,234,99,68,0,0,0
4/22/2022,419,TRUE,106,179,70,64,0,0,0
4/21/2022,466,TRUE,78,242,88,58,0,0,0
4/20/2022,490,TRUE,60,329,24,77,0,0,0
4/19/2022,501,TRUE,74,314,26,87,0,0,0
4/18/2022,500,TRUE,51,307,48,94,0,0,0
4/17/2022,601,TRUE,54,402,76,69,0,0,0
4/16/2022,443,TRUE,68,249,63,63,0,0,0
4/15/2022,411,TRUE,78,198,76,59,0,0,0
4/14/2022,374,TRUE,20,230,62,62,0,0,0
4/13/2022,80,FALSE,0,0,0,0,80,0,0
4/13/2022,363,TRUE,55,203,66,39,0,0,0
4/12/2022,444,TRUE,64,235,102,43,0,0,0
4/11/2022,400,TRUE,53,189,121,37,0,0,0
4/10/2022,604,TRUE,115,347,29,113,0,0,0
4/9/2022,654,TRUE,119,337,117,81,0,0,0
4/8/2022,436,TRUE,62,261,69,44,0,0,0
4/7/2022,485,TRUE,60,285,70,70,0,0,0
4/6/2022,450,TRUE,25,288,70,67,0,0,0
4/5/2022,591,TRUE,41,347,118,85,0,0,0
4/4/2022,476,TRUE,54,275,62,85,0,0,0
4/3/2022,73,FALSE,0,0,0,0,68,1,4
4/3/2022,451,TRUE,74,270,39,68,0,0,0
4/2/2022,510,TRUE,40,329,50,91,0,0,0
4/1/2022,440,TRUE,59,282,31,68,0,0,0
3/31/2022,424,TRUE,59,249,34,82,0,0,0
3/30/2022,498,TRUE,35,325,50,88,0,0,0
3/29/2022,480,TRUE,37,336,39,68,0,0,0
3/28/2022,410,TRUE,56,255,44,55,0,0,0
3/27/2022,548,TRUE,58,338,64,88,0,0,0
3/26/2022,522,TRUE,79,319,50,74,0,0,0
3/25/2022,468,TRUE,68,287,73,40,0,0,0
3/24/2022,500,TRUE,94,268,90,48,0,0,0
3/23/2022,483,TRUE,64,261,105,53,0,0,0
3/22/2022,439,TRUE,27,329,36,47,0,0,0
3/21/2022,456,TRUE,72,244,72,68,0,0,0
3/20/2022,515,TRUE,85,280,103,47,0,0,0
3/19/2022,580,TRUE,76,335,92,77,0,0,0
3/18/2022,415,TRUE,58,237,69,51,0,0,0
3/17/2022,428,TRUE,36,256,89,47,0,0,0
3/16/2022,475,TRUE,70,238,127,40,0,0,0
3/15/2022,426,TRUE,58,220,94,54,0,0,0
3/14/2022,640,TRUE,49,359,146,86,0,0,0
